# The rpc.method vocabulary. Source of truth for rpcmethod_gen.go -- run `make generate`.
# Names are verb-first snake_case per AIP-131/132/190; the rule and its rationale
# live in rpcmethod.go, which is where a reviewer should look before adding a row.
#
# constant	label value	scanner suppression (blank, or G101 for a name a
#		credential scanner misreads as a secret)
AddBotRoomMembers	add_bot_room_members	
AddMembers	add_members	
AddPriorityContact	add_priority_contact	
BatchGetBadgeCounts	batch_get_badge_counts	
BatchGetMessages	batch_get_messages	
BatchGetPeerPresence	batch_get_peer_presence	
BatchGetPresence	batch_get_presence	
BatchGetRoomPreviews	batch_get_room_previews	
BatchGetRoomsInfo	batch_get_rooms_info	
BatchGetThreadRoomsInfo	batch_get_thread_rooms_info	
CountSubscriptions	count_subscriptions	
CreateBotRoom	create_bot_room	
CreateChatlistSection	create_chatlist_section	
CreateDMRoom	create_dm_room	
CreateRoom	create_room	
CreateTeamsMeeting	create_teams_meeting	
DeleteChatlistSection	delete_chatlist_section	
DeleteEmoji	delete_emoji	
DeleteMessage	delete_message	
EditMessage	edit_message	
EnsureBotDMRoom	ensure_bot_dm_room	
EnsureRoomKey	ensure_room_key	
GetBotRoom	get_bot_room	
GetChatlist	get_chatlist	
GetCurrentUser	get_current_user	
GetDMSubscription	get_dm_subscription	
GetMessage	get_message	
GetRoomAppCommandMenu	get_room_app_command_menu	
GetRoomAppTabs	get_room_app_tabs	
GetRoomKey	get_room_key	
GetSettings	get_settings	
GetSubscriptionByRoom	get_subscription_by_room	
GetThreadUnreadSummary	get_thread_unread_summary	
GetUserProfile	get_user_profile	
GetUserStatus	get_user_status	
ListAppCategories	list_app_categories	
ListApps	list_apps	
ListChannelMessages	list_channel_messages	
ListChannelSubscriptions	list_channel_subscriptions	
ListEmojis	list_emojis	
ListMemberStatuses	list_member_statuses	
ListMembers	list_members	
ListMentionableSubscriptions	list_mentionable_subscriptions	
ListMessageReaders	list_message_readers	
ListNextMessages	list_next_messages	
ListOrgMembers	list_org_members	
ListPinnedMessages	list_pinned_messages	
ListPriorityContacts	list_priority_contacts	
ListSubscriptions	list_subscriptions	
ListSurroundingMessages	list_surrounding_messages	
ListThreadMessages	list_thread_messages	
ListThreadParentMessages	list_thread_parent_messages	
ListThreadSubscriptions	list_thread_subscriptions	
ListUserThreads	list_user_threads	
MarkAllThreadsRead	mark_all_threads_read	
MarkRoomRead	mark_room_read	
MarkRoomThreadsRead	mark_room_threads_read	
MarkThreadRead	mark_thread_read	
MigrateDeleteMessage	migrate_delete_message	
MigrateEditMessage	migrate_edit_message	
MoveChat	move_chat	
OpenRoom	open_room	
PinMessage	pin_message	
RefreshSSOToken	refresh_sso_token	G101
RemoveBotRoomMembers	remove_bot_room_members	
RemoveMember	remove_member	
RemovePriorityContact	remove_priority_contact	
RenameChatlistSection	rename_chatlist_section	
RenameRoom	rename_room	
ReorderChatlistSections	reorder_chatlist_sections	
SearchApps	search_apps	
SearchMessages	search_messages	
SearchOrgs	search_orgs	
SearchRooms	search_rooms	
SearchUsers	search_users	
SendDM	send_dm	
SendRoomMessage	send_room_message	
SetAppSubscription	set_app_subscription	
SetChatlistSectionSortMode	set_chatlist_section_sort_mode	
SetManualPresence	set_manual_presence	
SetRoomRestricted	set_room_restricted	
SetSettings	set_settings	
SetSSOToken	set_sso_token	G101
SetUserStatus	set_user_status	
StartTeamsRoomCall	start_teams_room_call	
StartTeamsUserCall	start_teams_user_call	
ToggleFavorite	toggle_favorite	
ToggleMessageReaction	toggle_message_reaction	
ToggleMute	toggle_mute	
TranslateText	translate_text	
UnpinMessage	unpin_message	
UpdateMemberRole	update_member_role	
