# Every natsrouter route registered in the fleet, as of this branch's base.
# service	registration	pattern (siteID substituted as the literal token "site1")
bot-message-handler	Register	chat.server.bot.request.dm.site1.{userID}.msg.send
bot-message-handler	Register	chat.server.bot.request.room.site1.{roomID}.msg.send
bot-room-service	Register	chat.server.bot.request.room.site1.create
bot-room-service	Register	chat.server.bot.request.room.site1.dm.ensure
bot-room-service	Register	chat.server.bot.request.room.site1.get
bot-room-service	Register	chat.server.bot.request.room.site1.{roomID}.member.add
bot-room-service	Register	chat.server.bot.request.room.site1.{roomID}.member.remove
history-service	Register	chat.migration.internal.site1.msg.delete
history-service	Register	chat.migration.internal.site1.msg.edit
history-service	Register	chat.server.request.history.site1.rooms.get
history-service	Register	chat.server.request.thread.site1.subscription.list
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.delete
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.edit
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.get
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.get.ids
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.history
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.next
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.pin
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.pinned.list
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.react
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.surrounding
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.thread
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.thread.parent
history-service	Register	chat.user.{account}.request.room.{roomID}.site1.msg.unpin
media-service	Register	chat.user.{account}.request.emoji.site1.delete
media-service	RegisterNoBody	chat.user.{account}.request.emoji.site1.list
room-service	Register	chat.server.request.room.site1.info.batch
room-service	Register	chat.server.request.room.site1.key.ensure
room-service	Register	chat.server.request.room.site1.restricted
room-service	Register	chat.server.request.room.site1.thread.info.batch
room-service	Register	chat.server.request.room.site1.thread.read.all
room-service	Register	chat.user.{account}.request.room.site1.create
room-service	Register	chat.user.{account}.request.room.{roomID}.site1.chat.move
room-service	Register	chat.user.{account}.request.room.{roomID}.site1.member.add
room-service	Register	chat.user.{account}.request.room.{roomID}.site1.member.remove
room-service	Register	chat.user.{account}.request.room.{roomID}.site1.member.role-update
room-service	Register	chat.user.{account}.request.room.{roomID}.site1.message.read-receipt
room-service	Register	chat.user.{account}.request.room.{roomID}.site1.message.thread.read
room-service	Register	chat.user.{account}.request.room.{roomID}.site1.room.rename
